,dt,channel,username,message,neg,neu,pos,compound
1747,2021-05-01 18:55:36,doublelift,rozkie,that was so fetch,0.0,1.0,0.0,0.0
1748,2021-05-01 18:55:38,doublelift,erisedmagic,ahri pog as well,0.0,0.328,0.672,0.4767
1749,2021-05-01 18:55:42,doublelift,skinner_c,this game gives me mental breakdown lol,0.0,0.682,0.318,0.4215
1750,2021-05-01 18:55:44,doublelift :all planned,maruike1203,tf:,0.0,1.0,0.0,0.0
1751,2021-05-01 18:55:44,doublelift,yamatron,whos the riven,0.0,1.0,0.0,0.0
1752,2021-05-01 18:55:48,doublelift,hiiighfive,china level gameplay,0.0,1.0,0.0,0.0
1753,2021-05-01 18:55:53,doublelift,fizzkhallifa420,how does it feel playing with your favorite LCS ADC?,0.0,0.625,0.375,0.5859
1754,2021-05-01 18:55:57,doublelift,skinner_c,i swear hits dont register and servers are trash,0.13,0.87,0.0,-0.0516
1755,2021-05-01 18:55:57,doublelift,phyxious123,did he just miss a hook and a dragon?,0.167,0.833,0.0,-0.1531
1756,2021-05-01 18:55:59,doublelift,orgasmal,this chat has the most kekw s per minute of any stream,0.0,1.0,0.0,0.0
1757,2021-05-01 18:55:59,doublelift :very close to a bad play,gilhal,D,0.0,1.0,0.0,0.0
1758,2021-05-01 18:56:02,doublelift,madvillain38,@Rozkie Stop trying to make fetch happen...its not going to happen,0.18,0.82,0.0,-0.296
1759,2021-05-01 18:56:16,doublelift,min_oppa,tactical with a bounty KEKW,0.0,1.0,0.0,0.0
1760,2021-05-01 18:56:29,doublelift,brn007,-700,0.0,1.0,0.0,0.0
1761,2021-05-01 18:56:29,doublelift,alexh4308,double lift playing like the silver support he is KEKW,0.0,0.5,0.5,0.7184
1762,2021-05-01 18:56:32,doublelift,makrambtw,who is that riven @Doublelift ?,0.0,1.0,0.0,0.0
1763,2021-05-01 18:56:50,doublelift,lukas_112358,If the hook accuracy this game represented a human being they would be a minor LUL,0.0,1.0,0.0,0.0
1764,2021-05-01 18:56:52,doublelift,adimininastr0,monkaW,1.0,0.0,0.0,-0.25
1765,2021-05-01 18:57:01,doublelift,johnhoeangg,remember when dlift was a blitz main s1,0.0,1.0,0.0,0.0
1766,2021-05-01 18:57:03,doublelift,shoenin,the hook wars,0.643,0.357,0.0,-0.5574
1767,2021-05-01 18:57:03,doublelift,hugh_lovett,monkaW,1.0,0.0,0.0,-0.25
1768,2021-05-01 18:57:15,doublelift,orgasmal,"I wonder if they ever will get better servers for league, don't they kinda suck?",0.0,0.719,0.281,0.6236
1769,2021-05-01 18:57:16,doublelift,al_capoon,!song,0.0,1.0,0.0,0.0
1770,2021-05-01 18:57:19,doublelift,tobyuuu,montage song,0.0,1.0,0.0,0.0
1771,2021-05-01 18:57:23,doublelift,mrdonut89,Pog,0.0,0.0,1.0,0.25
1772,2021-05-01 18:57:25,doublelift,adimininastr0,Pog,0.0,0.0,1.0,0.25
1773,2021-05-01 18:57:26,doublelift,keberzzz,lmao,0.0,0.0,1.0,0.5994
1774,2021-05-01 18:57:27,doublelift,maruike1203,KEKL,0.0,1.0,0.0,0.0
1775,2021-05-01 18:57:30,doublelift,anatolianstream,Smoge,0.0,1.0,0.0,0.0
1776,2021-05-01 18:57:31,doublelift,g1zmuu,that skin makes it look like you're always burning from liandrys,0.0,0.8,0.2,0.3612
1777,2021-05-01 18:57:32,doublelift,porko2,diana+ noc  adc wet dream,0.0,0.667,0.333,0.25
1778,2021-05-01 18:57:32,doublelift,sungiant_,wards Pog,0.0,0.333,0.667,0.25
1779,2021-05-01 18:57:32,doublelift,rbdz,LUL,0.0,1.0,0.0,0.0
1780,2021-05-01 18:57:33,doublelift,warmpies,tactical rank 1 after this,0.0,1.0,0.0,0.0
1781,2021-05-01 18:57:34,doublelift,rozkie,lets goo boxbox,0.0,1.0,0.0,0.0
1782,2021-05-01 18:57:34,doublelift,crazylegs722,What skin is dl using?,0.0,1.0,0.0,0.0
1783,2021-05-01 18:57:37,doublelift :@makrambtw ur stepsis,mrrocketsurgeon,eyes:,0.0,1.0,0.0,0.0
1784,2021-05-01 18:57:37,doublelift,pvt_davids,Q comeback seqPog,0.0,1.0,0.0,0.0
