dt,channel,username,message
2021-04-27 18:32:45,loltyler1,kidtrunks44,@Macaiyla pepoHey
2021-04-27 18:32:47,loltyler1,jordandrinkswater,@macaiyla google ds2 while you have time caiylaFlower
2021-04-27 18:32:48,loltyler1,abdellahtaikk,peepoHey
2021-04-27 18:32:49,loltyler1,ajaxkm,peepoHey Macaiyla
2021-04-27 18:32:51,loltyler1,uchennalol,@Macaiyla fk off
2021-04-27 18:32:52,loltyler1,jetskiboss,peepoHey
2021-04-27 18:32:52,loltyler1,misery_club,PepeLaugh
2021-04-27 18:32:53,loltyler1,unexcused,monkaW
2021-04-27 18:32:54,loltyler1,bugi_gap,peepoClap
2021-04-27 18:32:55,loltyler1,trexjohnson10,peepoHey  KAYLA
2021-04-27 18:32:55,loltyler1,moromagdi,PepeLaugh
2021-04-27 18:32:57,loltyler1,jeffreymcgoobrey,<3 <3
2021-04-27 18:32:58,loltyler1,bnbenterpr1ses,PepeLaugh
2021-04-27 18:32:59,loltyler1,lordtatersiv,PepeLaugh Clap
2021-04-27 18:32:59,loltyler1,silverdegree504,PepeLaugh
2021-04-27 18:33:00,loltyler1,xmar3,PepeLaugh
2021-04-27 18:33:00,loltyler1,nofrontin,peepoHey
2021-04-27 18:33:01,loltyler1,busterbean,PepeLaugh
2021-04-27 18:33:02,loltyler1,milkmancometh,PepeLauh
2021-04-27 18:33:03,loltyler1,brawnski,PepeLaugh
2021-04-27 18:33:03,loltyler1,santiagomt,KAYLA peepoHey
2021-04-27 18:33:04,loltyler1,hoboassisstant,@Macaiyla MAICAYLA MEMBA ME? tyler1LUL
2021-04-27 18:33:05,loltyler1,fpspsychoyt,PepeLaugh
2021-04-27 18:33:05,loltyler1,spedmow,PogU
2021-04-27 18:33:06,loltyler1,as3cknsolo,PepeLaugh
2021-04-27 18:33:08,loltyler1,megodile,Macaiyla i hope school is going well caiylaFlower
2021-04-27 18:33:09,loltyler1,qmoon0,PogU WTF
2021-04-27 18:33:10,loltyler1,raygaku,PepeLaugh
2021-04-27 18:33:11,loltyler1,firga4,KEKW
2021-04-27 18:33:13,loltyler1,ajwme,D:
2021-04-27 18:33:14,loltyler1,mrdrslayer,OMEGALUL
2021-04-27 18:33:16,loltyler1,eastsidememories,OUTPLAYED HOLY
2021-04-27 18:33:17,loltyler1,peadea,NERF HEIMER
2021-04-27 18:33:18,loltyler1,mr__sj,LUL imd
2021-04-27 18:33:18,loltyler1,vandomacts,like you had her almost
2021-04-27 18:33:20,loltyler1,jeffreymcgoobrey,T1 ALPHA AYAYA\
2021-04-27 18:33:21,loltyler1,bigblatentbuddha,NERF HEMER KEKW
2021-04-27 18:33:21,loltyler1,kasdjfadsjkl,KEKW RUN KAT KEKW
2021-04-27 18:33:21,loltyler1,akatsuki_bird,sup suyp
2021-04-27 18:33:22,loltyler1,mastersensai,tarz questioning the almost 1v1 win?
2021-04-27 18:33:23,loltyler1,proteragon,nerf heimer
2021-04-27 18:33:25,loltyler1,vandomacts,this guy KEKW
2021-04-27 18:33:26,loltyler1,leoh92,HUGE
2021-04-27 18:33:27,loltyler1,babablahsheep,monkaW
2021-04-27 18:33:28,loltyler1,deep196,monkaX
2021-04-27 18:33:29,loltyler1,hunterkiller1021,monkaW
2021-04-27 18:33:30,loltyler1,slimebelge,monkaW
2021-04-27 18:33:30,loltyler1,derptasticly,monkaW What
2021-04-27 18:33:31,loltyler1,macaiyla,monkerS
2021-04-27 18:33:32,loltyler1,vicisity,monkaw
2021-04-27 18:33:34,loltyler1,eheimbtw,monkaW murder?
2021-04-27 18:33:35,loltyler1,firga4,bobby chill monkerS
2021-04-27 18:33:36,loltyler1,teejin6568,monkaW
2021-04-27 18:33:37,loltyler1,oktality,HUGE SUMMONER
2021-04-27 18:33:38,loltyler1,hexenmeisterlml,tha plai
2021-04-27 18:33:38,loltyler1,penofred,in minecraft dont worry guys
2021-04-27 18:33:38,loltyler1,cr1s2,monkaW uhh
2021-04-27 18:33:38,loltyler1,muffinstuffer51,WAYTOODANK
2021-04-27 18:33:39,loltyler1,mochasprinkles,monkerS
2021-04-27 18:33:40,loltyler1,snrlx35,they're so coward LUL
2021-04-27 18:33:41,loltyler1,youngsir31,WAYTOODANK
2021-04-27 18:33:42,loltyler1,gggonext15,BOBBT MEDS PLS monkaW
2021-04-27 18:33:43,loltyler1,caquitaduraa,monkaW
2021-04-27 18:33:44,loltyler1,peatmoss,Mm-mm--mmmm-MURDER monkaW
2021-04-27 18:33:46,loltyler1,julio123nitsh,pepeLaugh
2021-04-27 18:33:47,loltyler1,mybigreddog,KEKW
2021-04-27 18:33:48,loltyler1,andiecee,monkerS
2021-04-27 18:33:48,loltyler1,damajesticmango,monkaW NOT EVEN IN GAME monkaW NOT EVEN IN GAME monkaW NOT EVEN IN GAME monkaW NOT EVEN IN GAME
2021-04-27 18:33:49,loltyler1,indiefoxx_slayv_number77,monkaW bobby?
2021-04-27 18:33:50,loltyler1,vukov69,!rank
2021-04-27 18:33:51,loltyler1,firga4,TEAM MENTAL BOOM KEKW
2021-04-27 18:33:53,loltyler1,flyq_ryan,Bob KEKW
2021-04-27 18:33:54,loltyler1,bearhawkman,monkaW IN GAME BOBBY RIGHT? monkaW IN GAME BOBBY RIGHT? monkaW IN GAME BOBBY RIGHT? monkaW IN GAME BOBBY RIGHT?
2021-04-27 18:33:55,loltyler1,flidge,TELL TARZANED TO YELL
2021-04-27 18:33:55,loltyler1,bugi_gap,PepeLaugh
2021-04-27 18:33:57,loltyler1,zafdfswd,Tardy KEKW
2021-04-27 18:33:58,loltyler1,as3cknsolo,KEKW HEC KEKW
2021-04-27 18:33:58,loltyler1,deep196,PogU
2021-04-27 18:33:59,loltyler1,eric4211,PogU
2021-04-27 18:34:00,loltyler1,biggaisense,na akali
2021-04-27 18:34:01,loltyler1,lamodjdbdb,lmao ez
2021-04-27 18:34:01,loltyler1,macaiyla,PogU
2021-04-27 18:34:03,loltyler1,itschelder,POG
2021-04-27 18:34:04,loltyler1,trash5dgod,that dear move speeed lmao
2021-04-27 18:34:06,loltyler1,longtimelurker_,ITS S6 BABY
2021-04-27 18:34:07,loltyler1,moonchild_bella,oh that E
2021-04-27 18:34:09,loltyler1,julio123nitsh,Pog
2021-04-27 18:34:10,loltyler1,youngsir31,KEKW
2021-04-27 18:34:10,loltyler1,munam18,GRAVES WEAK GRAVES WEAK
2021-04-27 18:34:10,loltyler1,bearhawkman,KEKW TRUE
2021-04-27 18:34:11,loltyler1,th3_foxtr0t,KEKW
2021-04-27 18:34:13,loltyler1,benpk34,BigBrother ?
2021-04-27 18:34:14,loltyler1,misery_club,Sadge
2021-04-27 18:34:15,loltyler1,trexjohnson10,Sadge
2021-04-27 18:34:16,loltyler1,molis26,Sadge
2021-04-27 18:34:17,loltyler1,twitchistrashffs,TEAM CAPTAIN NEEDS TO RALLY HIS MENTALLY BROKEN TEAM tyler1B2
2021-04-27 18:34:18,loltyler1,rodricopplsnerf,Sadge
2021-04-27 18:34:18,loltyler1,sarnyroth,KEKW IM SO BAD KEKW TRUE
2021-04-27 18:34:19,loltyler1,apandawithagun,Sadge
2021-04-27 18:34:20,loltyler1,thecakeisalie4,Bobby will carry KEKW
2021-04-27 18:34:21,loltyler1,natsudrag99,TARZ LUL
2021-04-27 18:34:22,loltyler1,tarzanedfans,LOL
2021-04-27 18:34:22,loltyler1,sbgtentaclemonster,graves mechranical god
2021-04-27 18:34:22,loltyler1,hotboy8pack,sooo some darksouls to relax? @Macaiyla
2021-04-27 18:34:23,loltyler1,oktality,TEAM IS FALLING APART
2021-04-27 18:34:24,loltyler1,ifaurier,peepoSad
