id,dt,channel,username,message,neg,neu,pos,compound
194,5/1/2021 17:51,doublelift,vladtheimpaler121,@rozkie  stop trying to make fetch a thing,0.239,0.761,0,-0.296
195,5/1/2021 17:51,doublelift,edappa,berryaCozy,0,1,0,0
196,5/1/2021 17:51,doublelift,ammarathh,vision vs evelyn LUL,0,0.6,0.4,0.25
197,5/1/2021 17:51,doublelift,outsmited_,jinxed it,0,1,0,0
198,5/1/2021 17:51,doublelift,cloudace,green wards do nothing against eve KEKW,0,1,0,0
199,5/1/2021 17:51,doublelift,homesllice,catJAM,0,1,0,0
200,5/1/2021 17:51,doublelift,ozziedemand,can't see your vision,0.367,0.633,0,-0.1877
201,5/1/2021 17:52,doublelift,seahiga,KEKW,0,1,0,0
202,5/1/2021 17:52,doublelift,icelys,FeelsBadMan,0,1,0,0
203,5/1/2021 17:52,doublelift,asken_0,KEKW,0,1,0,0
204,5/1/2021 17:52,doublelift,beasttings,eve smoge,0,1,0,0
205,5/1/2021 17:52,doublelift,suedandles,Dang close Sadge,0.5,0.5,0,-0.25
206,5/1/2021 17:52,doublelift,fat_zodiak,BEST VISION,0,0,1,0.7351
207,5/1/2021 17:52,doublelift,thenacoinflip,Called it KEKW,0,1,0,0
208,5/1/2021 17:52,doublelift,outclassedleblanc,Insane vision KEKW,0.474,0.175,0.351,-0.1779
209,5/1/2021 17:52,doublelift,munieru62l,KEKWait,0,1,0,0
210,5/1/2021 17:52,doublelift,illuminataye,the grief is realk,0.516,0.484,0,-0.4939
211,5/1/2021 17:52,doublelift,cjherewegoagain,Ouch,0,1,0,0
212,5/1/2021 17:52,doublelift,skinner_c,you ever get tilted playing this game,0,0.769,0.231,0.2023
213,5/1/2021 17:52,doublelift,losebertpro,VoHiYo,0,1,0,0
214,5/1/2021 17:52,doublelift,lolsies1234,it was so obvious WeirdChamp,0.363,0.637,0,-0.3134
215,5/1/2021 17:52,doublelift,mayven,"""insane vision""",0.574,0,0.426,-0.1779
216,5/1/2021 17:52,doublelift,ammarathh,wards doesnt work agains eve,0,1,0,0
217,5/1/2021 17:52,doublelift,miloticmaster2,@OzzieDemand thats intentional to prevent stream sniping,0,0.845,0.155,0.0258
218,5/1/2021 17:52,doublelift,mystermato,THROW COMPLETE,0,1,0,0
